Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2010,1,1,STL,Sam Bradford\BradSa00,QB,22,2018,0,0,5,44,23,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,Oklahoma,College Stats
2010,1,2,DET,Ndamukong Suh\SuhxNd99,DT,23,2020,3,5,10,87,57,163,0,0,0,0,0,0,0,0,0,0,0,355,1,60.5,Nebraska,College Stats
2010,1,3,TAM,Gerald McCoy\McCoGe99,DT,22,2019,1,6,10,68,64,139,0,0,0,0,0,0,0,0,0,0,0,235,,59.5,Oklahoma,College Stats
2010,1,4,WAS,Trent Williams\WillTr21,T,22,2020,0,7,9,67,67,124,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
2010,1,5,KAN,Eric Berry\BerrEr99,DB,21,2018,3,5,5,47,47,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,Tennessee,College Stats
2010,1,6,SEA,Russell Okung\OkunRu20,T,22,2020,0,2,8,61,36,126,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.,College Stats
2010,1,7,CLE,Joe Haden\HadeJo99,DB,21,2020,0,3,8,55,38,135,0,0,0,0,0,0,0,0,0,0,0,443,28,3,Florida,College Stats
2010,1,8,OAK,Rolando McClain\McClRo00,LB,21,2015,0,0,5,26,16,65,0,0,0,0,0,0,0,0,0,0,0,288,4,9.5,Alabama,College Stats
2010,1,9,BUF,C.J. Spiller\SpilC.00,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson,College Stats
2010,1,10,JAX,Tyson Alualu\AluaTy99,DT,23,2020,0,0,6,44,35,160,0,0,0,0,0,1,0,0,2,19,0,242,,23.5,California,College Stats
2010,1,11,SFO,Anthony Davis\DaviAn27,T,20,2016,0,0,4,36,36,72,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,College Stats
2010,1,12,SDG,Ryan Mathews\MathRy00,RB,22,2016,0,1,5,43,36,86,0,0,0,0,0,1184,5261,37,179,1371,3,,,,Fresno St.,College Stats
2010,1,13,PHI,Brandon Graham\GrahBr99,DE,22,2020,0,0,5,47,47,147,0,0,0,0,0,0,0,0,0,0,0,285,,54,Michigan,College Stats
2010,1,14,SEA,Earl Thomas\ThomEa99,DB,21,2019,3,7,9,77,72,140,0,0,0,0,0,0,0,0,0,0,0,497,30,2,Texas,College Stats
2010,1,15,NYG,Jason Pierre-Paul\PierJa99,DE,21,2020,1,2,8,61,53,142,0,0,0,0,0,0,0,0,0,0,0,393,2,83.5,South Florida,College Stats
2010,1,16,TEN,Derrick Morgan\MorgDe99,DE,21,2018,0,0,8,40,40,118,0,0,0,0,0,0,0,0,0,0,0,208,,44.5,Georgia Tech,College Stats
2010,1,17,SFO,Mike Iupati\IupaMi20,G,23,2020,1,4,9,60,36,134,0,0,0,0,0,0,0,0,1,10,0,1,,,Idaho,College Stats
2010,1,18,PIT,Maurkice Pouncey\PounMa20,C,21,2020,2,8,8,71,71,124,0,0,0,0,0,0,0,0,1,0,0,,,,Florida,College Stats
2010,1,19,ATL,Sean Weatherspoon\WeatSe99,LB,22,2017,0,0,2,22,22,67,0,0,0,0,0,0,0,0,0,0,0,244,2,8,Missouri,College Stats
2010,1,20,HOU,Kareem Jackson\JackKa99,DB,22,2020,0,0,9,44,39,149,0,0,0,0,0,0,0,0,0,0,0,533,18,2,Alabama,College Stats
2010,1,21,CIN,Jermaine Gresham\GresJe00,TE,22,2018,0,2,9,28,22,132,0,0,0,0,0,0,0,0,377,3752,29,1,,,Oklahoma,College Stats
2010,1,22,DEN,Demaryius Thomas\ThomDe03,WR,22,2019,0,4,8,69,65,143,0,1,0,0,0,3,6,0,724,9763,63,2,,,Georgia Tech,College Stats
2010,1,23,GNB,Bryan Bulaga\BulaBr20,T,21,2020,0,0,8,59,59,118,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,
2010,1,24,DAL,Dez Bryant\BryaDe01,WR,21,2017,1,3,7,61,61,113,1,1,10,1,0,6,-3,0,531,7459,73,,,,Oklahoma St.,College Stats
2010,1,25,DEN,Tim Tebow\TeboTi00,QB,23,2012,0,0,1,12,11,35,173,361,2422,17,9,197,989,12,0,0,0,1,,,Florida,College Stats
2010,1,26,ARI,Dan Williams\WillDa99,DT,23,2016,0,0,6,31,22,102,0,0,0,0,0,0,0,0,0,0,0,154,1,3.5,Tennessee,College Stats
2010,1,27,NWE,Devin McCourty\McCoDe99,DB,23,2020,0,2,10,61,61,159,0,0,0,0,0,0,0,0,0,0,0,605,27,3,Rutgers,College Stats
2010,1,28,MIA,Jared Odrick\OdriJa99,DE,22,2016,0,0,3,29,20,87,0,0,0,0,0,0,0,0,0,0,0,135,1,23,Penn St.,College Stats
2010,1,29,NYJ,Kyle Wilson\WilsKy99,DB,23,2015,0,0,2,15,13,95,0,0,0,0,0,0,0,0,0,0,0,167,4,1,Boise St.,College Stats
2010,1,30,DET,Jahvid Best\BestJa00,RB,21,2012,0,0,2,13,13,22,0,1,0,0,0,255,945,6,85,774,3,,,,California,College Stats
2010,1,31,IND,Jerry Hughes\HughJe99,DE,22,2020,0,0,6,51,4,156,0,0,0,0,0,0,0,0,0,0,0,255,,51.5,TCU,College Stats
2010,1,32,NOR,Patrick Robinson\RobiPa99,DB,23,2020,0,0,1,27,13,115,0,0,0,0,0,0,0,0,0,0,0,274,15,2,Florida St.,College Stats
2010,2,33,STL,Rodger Saffold\SaffRo20,T,22,2020,0,0,8,54,46,133,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
2010,2,34,MIN,Chris Cook\CookCh99,DB,23,2014,0,0,2,9,9,40,0,0,0,0,0,0,0,0,0,0,0,107,,1,Virginia,College Stats
2010,2,35,TAM,Brian Price\PricBr99,DT,21,2012,0,0,1,4,4,20,0,0,0,0,0,0,0,0,0,0,0,23,,3,UCLA,College Stats
2010,2,36,KAN,Dexter McCluster\McClDe00,WR,21,2016,0,1,1,21,17,89,0,0,0,0,0,250,1042,2,236,1993,7,1,,,Mississippi,College Stats
2010,2,37,PHI,Nate Allen\AlleNa99,DB,22,2017,0,0,5,29,26,100,0,0,0,0,0,0,0,0,0,0,0,303,13,4,South Florida,College Stats
2010,2,38,CLE,T.J. Ward\WardT.99,DB,23,2017,0,2,7,39,23,107,0,0,0,0,0,0,0,0,0,0,0,458,8,8.5,Oregon,College Stats
2010,2,39,TAM,Arrelious Benn\BennAr00,WR,21,2017,0,0,2,8,7,61,0,0,0,0,0,15,44,0,65,990,6,24,,,Illinois,College Stats
2010,2,40,MIA,Koa Misi\MisiKo99,LB,23,2016,0,0,6,31,31,84,0,0,0,0,0,0,0,0,0,0,0,258,,12,Utah,College Stats
2010,2,41,BUF,Torell Troup\TrouTo00,DT,21,2012,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,17,,,Central Florida,
2010,2,42,NWE,Rob Gronkowski\GronRo00,TE,21,2020,4,5,9,69,69,120,0,0,0,0,0,1,2,1,533,8001,79,,,,Arizona,College Stats
2010,2,43,BAL,Sergio Kindle\KindSe99,LB,22,2012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas,
2010,2,44,OAK,Lamarr Houston\HousLa99,DE,23,2017,0,0,5,32,26,100,0,0,0,0,0,0,0,0,0,0,0,231,1,30.5,Texas,College Stats
2010,2,45,DEN,Zane Beadles\BeadZa20,G,23,2018,0,1,7,48,30,137,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
2010,2,46,NYG,Linval Joseph\JoseLi99,DT,21,2020,0,2,9,62,16,145,0,0,0,0,0,0,0,0,0,0,0,322,,24,East Carolina,College Stats
2010,2,47,ARI,Daryl Washington\WashDa99,LB,23,2014,0,1,4,36,36,59,0,0,0,0,0,0,0,0,0,0,0,329,6,18,TCU,College Stats
2010,2,48,CAR,Jimmy Clausen\ClauJi00,QB,22,2015,0,0,1,3,0,21,255,472,2520,7,14,37,102,0,0,0,0,,,,Notre Dame,College Stats
2010,2,49,SFO,Taylor Mays\MaysTa99,DB,22,2015,0,0,0,9,3,80,0,0,0,0,0,0,0,0,0,0,0,89,,1,USC,College Stats
2010,2,50,KAN,Javier Arenas\ArenJa99,DB,22,2014,0,0,1,8,7,69,0,0,0,0,0,4,17,1,0,0,0,137,2,5,Alabama,College Stats
2010,2,51,MIN,Toby Gerhart\GerhTo00,RB,23,2015,0,0,0,16,13,82,0,0,0,0,0,397,1675,7,100,809,3,7,,,Stanford,College Stats
2010,2,52,PIT,Jason Worilds\WoriJa99,DE,22,2014,0,0,2,21,21,73,0,0,0,0,0,0,0,0,0,0,0,144,1,25.5,Virginia Tech,College Stats
2010,2,53,NWE,Jermaine Cunningham\CunnJe99,LB,22,2014,0,0,1,8,8,38,0,0,0,0,0,0,0,0,0,0,0,44,,3.5,Florida,College Stats
2010,2,54,CIN,Carlos Dunlap\DunlCa99,DE,21,2020,0,2,7,61,61,152,0,0,0,0,0,0,0,0,0,0,0,326,2,81.5,Florida,College Stats
2010,2,55,DAL,Sean Lee\LeexSe99,LB,24,2019,1,2,7,51,51,109,0,0,0,0,0,0,0,0,0,0,0,510,14,4,Penn St.,College Stats
2010,2,56,GNB,Mike Neal\NealMi99,DE,23,2015,0,0,2,17,17,68,0,0,0,0,0,0,0,0,0,0,0,92,1,19,Purdue,College Stats
2010,2,57,BAL,Terrence Cody\CodyTe99,DT,22,2014,0,0,1,13,13,57,0,0,0,0,0,0,0,0,0,0,0,45,,,Alabama,College Stats
2010,2,58,HOU,Ben Tate\TateBe00,RB,22,2014,0,0,0,14,13,51,0,0,0,0,0,540,2363,14,67,347,0,,,,Auburn,College Stats
2010,2,59,CLE,Montario Hardesty\HardMo00,RB,23,2012,0,0,0,4,4,23,0,0,0,0,0,153,537,1,16,138,0,,,,Tennessee,College Stats
2010,2,60,SEA,Golden Tate\TateGo00,WR,22,2020,0,1,7,56,17,151,1,1,23,1,0,44,216,0,674,7993,44,,,,Notre Dame,College Stats
2010,2,61,NYJ,Vlad Ducasse\DucaVl20,T,22,2018,0,0,4,20,3,111,0,0,0,0,0,0,0,0,0,0,0,,,,Massachusetts,
2010,2,62,NWE,Brandon Spikes\SpikBr99,LB,23,2016,0,0,5,23,18,78,0,0,0,0,0,0,0,0,0,0,0,212,2,2,Florida,College Stats
2010,2,63,IND,Pat Angerer\AngePa99,LB,23,2013,0,0,3,17,17,54,0,0,0,0,0,0,0,0,0,0,0,195,2,2.5,Iowa,College Stats
2010,2,64,NOR,Charles Brown\BrowCh28,T,23,2015,0,0,1,15,15,54,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
2010,3,65,STL,Jerome Murphy\MurpJe99,DB,23,2013,0,0,0,3,2,33,0,0,0,0,0,0,0,0,0,0,0,33,1,,South Florida,College Stats
2010,3,66,DET,Amari Spievey\SpieAm99,DB,22,2012,0,0,2,12,12,35,0,0,0,0,0,0,0,0,0,0,0,117,5,1,Iowa,College Stats
2010,3,67,TAM,Myron Lewis\LewiMy99,DB,22,2012,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,20,,,Vanderbilt,College Stats
2010,3,68,KAN,Jon Asamoah\AsamJo20,G,22,2014,0,0,4,20,13,75,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,
2010,3,69,OAK,Jared Veldheer\VeldJa20,T,23,2019,0,0,8,49,20,120,0,0,0,0,0,0,0,0,0,0,0,,,,Hillsdale,
2010,3,70,BAL,Ed Dickson\DickEd00,TE,23,2018,0,0,7,16,9,134,0,0,0,0,0,1,9,0,190,2128,15,14,,,Oregon,College Stats
2010,3,71,GNB,Morgan Burnett\BurnMo99,DB,21,2019,0,0,8,32,30,121,0,0,0,0,0,0,0,0,0,0,0,540,10,9.5,Georgia Tech,College Stats
2010,3,72,BUF,Alex Carrington\CarrAl99,DE,23,2015,0,0,1,7,6,59,0,0,0,0,0,0,0,0,0,0,0,39,,4,Arkansas St.,College Stats
2010,3,73,MIA,John Jerry\JerrJo20,T,24,2019,0,0,6,39,16,132,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,
2010,3,74,JAX,D'Anthony Smith\SmitDA99,DT,22,2015,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,8,,,Louisiana Tech,College Stats
2010,3,75,CHI,Major Wright\WrigMa99,DB,22,2016,0,0,3,20,17,77,0,0,0,0,0,0,0,0,0,0,0,244,9,,Florida,College Stats
2010,3,76,NYG,Chad Jones,DB,,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats
2010,3,77,TEN,Damian Williams\WillDa04,WR,22,2014,0,0,1,9,9,57,0,0,0,0,0,1,5,0,107,1327,5,4,,,USC,College Stats
2010,3,78,CAR,Brandon LaFell\LaFeBr00,WR,23,2018,0,0,5,43,17,125,0,1,0,0,0,11,130,0,406,5398,31,2,,,LSU,College Stats
2010,3,79,SDG,Donald Butler\ButlDo99,LB,21,2016,0,0,5,29,27,85,0,0,0,0,0,0,0,0,0,0,0,285,3,7,Washington,
2010,3,80,DEN,J.D. Walton\WaltJ.20,C,23,2015,0,0,3,21,13,56,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats
2010,3,81,HOU,Earl Mitchell\MitcEa99,DT,22,2018,0,0,4,29,10,130,0,0,0,0,0,0,0,0,0,0,0,163,,6.5,Arizona,College Stats
2010,3,82,PIT,Emmanuel Sanders\SandEm00,WR,23,2020,0,2,7,55,12,148,3,3,78,2,0,18,159,1,615,8075,44,7,,,SMU,College Stats
2010,3,83,ATL,Corey Peters\PeteCo00,DT,22,2020,0,0,7,42,23,133,0,0,0,0,0,0,0,0,0,0,0,188,1,19,Kentucky,College Stats
2010,3,84,CIN,Jordan Shipley\ShipJo00,WR,24,2012,0,0,0,7,5,24,0,0,0,0,0,0,0,0,79,858,4,,,,Texas,College Stats
2010,3,85,CLE,Colt McCoy\McCoCo00,QB,24,2019,0,0,2,13,10,40,560,923,6080,29,27,130,497,2,2,8,0,,,,Texas,College Stats
2010,3,86,PHI,Daniel Te'o-Nesheim\Teo-Da99,DE,23,2013,0,0,2,12,1,39,0,0,0,0,0,0,0,0,0,0,0,36,,5,Washington,College Stats
2010,3,87,DEN,Eric Decker\DeckEr00,WR,23,2017,0,0,5,46,28,111,0,2,0,0,0,1,1,0,439,5816,53,8,,,Minnesota,College Stats
2010,3,88,ARI,Andre Roberts\RobeAn00,WR,22,2020,1,2,2,23,14,152,0,0,0,0,0,13,101,0,258,3016,15,,,,The Citadel,
2010,3,89,CAR,Armanti Edwards\EdwaAr00,WR,22,2013,0,0,0,1,1,41,2,3,11,0,0,3,12,0,6,131,0,,,,Appalachian St.,
2010,3,90,NWE,Taylor Price\PricTa00,WR,22,2012,0,0,0,1,1,6,0,0,0,0,0,0,0,0,5,80,0,,,,Ohio,College Stats
2010,3,91,SFO,NaVorro Bowman\BowmNa99,LB,22,2017,4,3,5,68,64,99,0,0,0,0,0,0,0,0,0,0,0,585,5,14,Penn St.,College Stats
2010,3,92,CLE,Shawn Lauvao\LauvSh20,G,22,2018,0,0,7,30,13,99,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,College Stats
2010,3,93,KAN,Tony Moeaki\MoeaTo00,TE,23,2015,0,0,2,10,9,49,0,0,0,0,0,0,0,0,91,1201,6,,,,Iowa,College Stats
2010,3,94,IND,Kevin Thomas\ThomKe99,DB,23,2011,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,20,,,USC,
2010,3,95,NOR,Jimmy Graham\GrahJi00,TE,23,2020,1,5,9,59,39,158,0,0,0,0,0,2,3,0,666,8052,78,1,,,Miami (FL),College Stats
2010,3,96,CIN,Brandon Ghee\GheeBr99,DB,23,2014,0,0,0,3,2,29,0,0,0,0,0,0,0,0,0,0,0,17,1,,Wake Forest,College Stats
2010,3,97,TEN,Rennie Curran\CurrRe99,LB,21,2010,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,Georgia,College Stats
2010,3,98,ATL,Mike Johnson\JohnMi23,G,23,2014,0,0,0,2,2,18,0,0,0,0,0,0,0,0,1,1,1,,,,Alabama,
2010,4,99,STL,Mardy Gilyard\GilyMa00,WR,23,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,8,78,0,5,,,Cincinnati,College Stats
2010,4,100,MIN,Everson Griffen\GrifEv99,DE,22,2020,0,4,6,61,61,151,0,0,0,0,0,0,0,0,0,0,0,265,2,75.5,USC,College Stats
2010,4,101,TAM,Mike Williams\WillMi04,WR,23,2014,0,0,3,25,25,63,1,1,28,0,0,1,3,0,223,3089,26,,,,Syracuse,College Stats
2010,4,102,HOU,Darryl Sharpton\SharDa01,LB,22,2014,0,0,1,10,9,47,0,0,0,0,0,0,0,0,0,0,0,117,1,1,Miami (FL),College Stats
2010,4,103,WAS,Perry Riley\RilePe00,LB,22,2016,0,0,6,30,27,90,0,0,0,0,0,0,0,0,0,0,0,308,3,9.5,LSU,College Stats
2010,4,104,TEN,Alterraun Verner\VernAl99,DB,21,2017,0,1,4,34,25,125,0,0,0,0,0,0,0,0,0,0,0,371,15,0.5,UCLA,College Stats
2010,4,105,PHI,Trevard Lindley\LindTr99,DB,24,2010,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,22,1,,Kentucky,College Stats
2010,4,106,OAK,Bruce Campbell\CampBr20,T,22,2012,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats
2010,4,107,BUF,Marcus Easley\EaslMa00,WR,22,2015,0,0,0,1,1,42,0,0,0,0,0,0,0,0,3,71,1,41,1,,Connecticut,
2010,4,108,OAK,Jacoby Ford\FordJa01,WR,23,2013,0,0,1,12,12,38,0,0,0,0,0,19,201,2,57,848,3,1,,,Clemson,College Stats
2010,4,109,CHI,Corey Wootton\WootCo99,DE,23,2014,0,0,1,15,13,60,0,0,0,0,0,0,0,0,0,0,0,65,,12,Northwestern,College Stats
2010,4,110,SDG,Darrell Stuckey\StucDa20,DB,23,2016,0,1,0,8,8,89,0,0,0,0,0,0,0,0,0,0,0,73,,1,Kansas,College Stats
2010,4,111,SEA,Walter Thurmond\ThurWa99,DB,23,2015,0,0,1,11,5,52,0,0,0,0,0,0,0,0,0,0,0,121,4,3,Oregon,College Stats
2010,4,112,NYJ,Joe McKnight\McKnJo00,RB,22,2014,0,0,0,7,6,41,0,0,0,0,0,113,505,0,23,241,2,8,,,USC,College Stats
2010,4,113,NWE,Aaron Hernandez\HernAa00,TE,20,2012,0,0,2,22,22,38,0,0,0,0,0,9,97,0,175,1956,18,,,,Florida,College Stats
2010,4,114,BAL,Dennis Pitta\PittDe00,TE,25,2016,0,0,1,16,16,66,0,0,0,0,0,0,0,0,224,2098,13,2,,,BYU,College Stats
2010,4,115,NYG,Phillip Dillard\DillPh99,LB,23,2012,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,,,Nebraska,College Stats
2010,4,116,PIT,Thaddeus Gibson\GibsTh99,DE,22,2012,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,3,,,Ohio St.,College Stats
2010,4,117,ATL,Joe Hawley\HawlJo20,C,21,2017,0,0,3,25,13,91,0,0,0,0,0,0,0,0,0,0,0,,,,UNLV,College Stats
2010,4,118,HOU,Garrett Graham\GrahGa00,TE,24,2015,0,0,2,7,7,60,0,0,0,0,0,0,0,0,100,1059,10,5,,,Wisconsin,College Stats
2010,4,119,MIA,A.J. Edds\EddsA.99,LB,22,2014,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,4,,,Iowa,
2010,4,120,CIN,Geno Atkins\AtkiGe99,DT,22,2019,2,8,9,87,87,153,0,0,0,0,0,0,0,0,0,0,0,227,,75.5,Georgia,College Stats
2010,4,121,PHI,Keenan Clayton\ClayKe99,LB,23,2012,0,0,0,3,2,36,0,0,0,0,0,0,0,0,0,0,0,38,,,Oklahoma,College Stats
2010,4,122,PHI,Mike Kafka\KafkMi00,QB,23,2014,0,0,0,0,0,4,11,16,107,0,2,3,0,0,0,0,0,,,,Northwestern,College Stats
2010,4,123,NOR,Al Woods\WoodAl99,DT,23,2019,0,0,4,23,,125,0,0,0,0,0,0,0,0,0,0,0,109,,5.5,LSU,College Stats
